first_win,name,seasons,poles,top_ten,last_win,podiums,first_race,wins,titles,last_race,country
,Spirit 🇬🇧,25,0,6,,0,1983-07-16T00:00:00.000Z,0,0,1985-05-05T00:00:00.000Z,UK
,Lola 🇬🇧,165,1,31,,2,1962-05-20T00:00:00.000Z,0,0,1997-03-09T00:00:00.000Z,UK
,Snowberger 🇺🇸,1,0,0,,0,1950-05-30T00:00:00.000Z,0,0,1950-05-30T00:00:00.000Z,USA
,Lotus 🇲🇾,76,0,0,,0,2010-03-14T00:00:00.000Z,0,0,2011-11-27T00:00:00.000Z,Malaysia
,Lotus-Borgward 🇬🇧,2,0,0,,0,1962-09-16T00:00:00.000Z,0,0,1963-08-04T00:00:00.000Z,UK
,Simtek 🇬🇧,40,0,3,,0,1994-03-27T00:00:00.000Z,0,0,1995-05-28T00:00:00.000Z,UK
,Simca 🇫🇷,29,0,6,,0,1950-05-21T00:00:00.000Z,0,0,1953-06-21T00:00:00.000Z,France
,Sherman 🇺🇸,2,0,1,,0,1951-05-30T00:00:00.000Z,0,0,1952-05-30T00:00:00.000Z,USA
,Lotus-Maserati 🇬🇧,2,0,0,,0,1961-09-10T00:00:00.000Z,0,0,1963-09-08T00:00:00.000Z,UK
,Lotus-Pratt &amp; Whitney 🇬🇧,3,0,1,,0,1971-06-20T00:00:00.000Z,0,0,1971-09-05T00:00:00.000Z,UK
,Lyncar 🇬🇧,2,0,0,,0,1974-07-20T00:00:00.000Z,0,0,1975-07-19T00:00:00.000Z,UK
,Maki 🇯🇵,8,0,0,,0,1974-07-20T00:00:00.000Z,0,0,1976-10-24T00:00:00.000Z,Japan
,Manor Marussia 🇬🇧,78,0,1,,0,2015-03-29T00:00:00.000Z,0,0,2016-11-27T00:00:00.000Z,UK
,Shannon 🇬🇧,1,0,0,,0,1966-07-16T00:00:00.000Z,0,0,1966-07-16T00:00:00.000Z,UK
,March-Alfa Romeo 🇬🇧,9,0,0,,0,1971-03-06T00:00:00.000Z,0,0,1971-10-03T00:00:00.000Z,UK
,March-Ford 🇬🇧,43,0,12,,5,1971-03-06T00:00:00.000Z,0,0,1971-10-03T00:00:00.000Z,UK
,Marchese 🇺🇸,2,0,0,,0,1950-05-30T00:00:00.000Z,0,0,1951-05-30T00:00:00.000Z,USA
,Martini 🇫🇷,8,0,3,,0,1978-03-04T00:00:00.000Z,0,0,1978-10-01T00:00:00.000Z,France
,Marussia 🇷🇺,109,0,1,,0,2012-03-18T00:00:00.000Z,0,0,2014-10-12T00:00:00.000Z,Russia
,Shadow-Matra 🇬🇧,2,0,0,,0,1975-08-17T00:00:00.000Z,0,0,1975-09-07T00:00:00.000Z,UK
,Matra 🇫🇷,71,2,37,,6,1967-05-07T00:00:00.000Z,0,0,1972-10-08T00:00:00.000Z,France
,Shadow-Ford 🇬🇧,26,3,8,,1,1975-01-12T00:00:00.000Z,0,0,1975-10-05T00:00:00.000Z,UK
,MBM 🇨🇭,1,0,0,,0,1961-08-06T00:00:00.000Z,0,0,1961-08-06T00:00:00.000Z,Switzerland
,McGuire 🇦🇺,1,0,0,,0,1977-07-16T00:00:00.000Z,0,0,1977-07-16T00:00:00.000Z,Australia
,Scirocco 🇬🇧,17,0,1,,0,1963-05-26T00:00:00.000Z,0,0,1964-08-02T00:00:00.000Z,UK
,McLaren-Alfa Romeo 🇬🇧,11,0,1,,0,1970-04-19T00:00:00.000Z,0,0,1970-10-04T00:00:00.000Z,UK
,McLaren-BRM 🇬🇧,14,0,5,,0,1967-05-07T00:00:00.000Z,0,0,1968-10-06T00:00:00.000Z,UK
,Schroeder 🇺🇸,8,0,1,,0,1951-05-30T00:00:00.000Z,0,0,1955-05-30T00:00:00.000Z,USA
,McLaren-Serenissima 🇬🇧,2,0,1,,0,1966-06-12T00:00:00.000Z,0,0,1966-07-16T00:00:00.000Z,UK
,Scarab 🇺🇸,9,0,1,,0,1960-05-29T00:00:00.000Z,0,0,1960-11-20T00:00:00.000Z,USA
,Merzario 🇮🇹,32,0,0,,0,1978-01-15T00:00:00.000Z,0,0,1979-10-07T00:00:00.000Z,Italy
,Meskowski 🇺🇸,2,0,1,,0,1960-05-30T00:00:00.000Z,0,0,1960-05-30T00:00:00.000Z,USA
,MF1 🇷🇺,28,0,2,,0,2006-03-12T00:00:00.000Z,0,0,2006-08-27T00:00:00.000Z,Russia
,Milano 🇮🇹,1,0,0,,0,1950-09-03T00:00:00.000Z,0,0,1950-09-03T00:00:00.000Z,Italy
,Minardi 🇮🇹,672,0,113,,0,1985-04-07T00:00:00.000Z,0,0,2005-10-16T00:00:00.000Z,Italy
,Moore 🇺🇸,3,0,2,,0,1950-05-30T00:00:00.000Z,0,0,1959-05-30T00:00:00.000Z,USA
,Nichels 🇺🇸,4,0,1,,0,1950-05-30T00:00:00.000Z,0,0,1954-05-31T00:00:00.000Z,USA
,Olson 🇺🇸,1,0,0,,0,1950-05-30T00:00:00.000Z,0,0,1950-05-30T00:00:00.000Z,USA
,Onyx 🇬🇧,52,0,4,,1,1989-03-26T00:00:00.000Z,0,0,1990-08-12T00:00:00.000Z,UK
,OSCA 🇮🇹,8,0,2,,0,1951-09-16T00:00:00.000Z,0,0,1958-05-18T00:00:00.000Z,Italy
,Osella 🇮🇹,252,0,16,,0,1980-01-13T00:00:00.000Z,0,0,1990-11-04T00:00:00.000Z,Italy
,Pacific 🇬🇧,66,0,3,,0,1994-03-27T00:00:00.000Z,0,0,1995-11-12T00:00:00.000Z,UK
,Pankratz 🇺🇸,2,0,0,,0,1954-05-31T00:00:00.000Z,0,0,1955-05-30T00:00:00.000Z,USA
,Parnelli 🇺🇸,16,0,6,,0,1974-09-22T00:00:00.000Z,0,0,1976-03-28T00:00:00.000Z,USA
,Pawl 🇺🇸,4,0,0,,0,1951-05-30T00:00:00.000Z,0,0,1955-05-30T00:00:00.000Z,USA
,Sauber 🇨🇭,722,0,282,,10,1993-03-14T00:00:00.000Z,0,0,2017-06-25T00:00:00.000Z,Switzerland
,Phillips 🇺🇸,7,0,5,,1,1954-05-31T00:00:00.000Z,0,0,1960-05-30T00:00:00.000Z,USA
,Politoys 🇬🇧,1,0,0,,0,1972-07-15T00:00:00.000Z,0,0,1972-07-15T00:00:00.000Z,UK
,Rial 🇩🇪,48,0,6,,0,1988-04-03T00:00:00.000Z,0,0,1989-11-05T00:00:00.000Z,Germany
,Prost 🇫🇷,165,0,53,,3,1997-03-09T00:00:00.000Z,0,0,2001-10-14T00:00:00.000Z,France
,Protos 🇬🇧,2,0,0,,0,1967-08-06T00:00:00.000Z,0,0,1967-08-06T00:00:00.000Z,UK
,Rae 🇺🇸,1,0,0,,0,1950-05-30T00:00:00.000Z,0,0,1950-05-30T00:00:00.000Z,USA
,RAM 🇬🇧,71,0,8,,0,1983-03-13T00:00:00.000Z,0,0,1985-10-06T00:00:00.000Z,UK
,RE 🇿🇼,1,0,0,,0,1965-01-01T00:00:00.000Z,0,0,1965-01-01T00:00:00.000Z,Rhodesia
,Rebaque 🇲🇽,3,0,0,,0,1979-09-09T00:00:00.000Z,0,0,1979-10-07T00:00:00.000Z,Mexico
,Behra-Porsche 🇮🇹,2,0,1,,0,1960-02-07T00:00:00.000Z,0,0,1960-09-04T00:00:00.000Z,Italy
1950-05-13T00:00:00.000Z,Alfa Romeo 🇮🇹,244,13,82,1951-10-28T00:00:00.000Z,29,1950-05-13T00:00:00.000Z,11,0,1985-11-03T00:00:00.000Z,Italy
1950-05-30T00:00:00.000Z,Kurtis Kraft 🇺🇸,226,6,67,1955-05-30T00:00:00.000Z,19,1950-05-30T00:00:00.000Z,5,0,1960-05-30T00:00:00.000Z,USA
1951-07-14T00:00:00.000Z,Ferrari 🇮🇹,2116,215,1369,2017-05-28T00:00:00.000Z,726,1950-05-21T00:00:00.000Z,228,16,2017-06-25T00:00:00.000Z,Italy
1952-05-30T00:00:00.000Z,Kuzma 🇺🇸,39,0,9,1952-05-30T00:00:00.000Z,3,1951-05-30T00:00:00.000Z,1,0,1960-05-30T00:00:00.000Z,USA
1953-09-13T00:00:00.000Z,Maserati 🇮🇹,436,11,179,1957-08-04T00:00:00.000Z,40,1950-05-13T00:00:00.000Z,9,0,1960-11-20T00:00:00.000Z,Italy
1954-07-04T00:00:00.000Z,Mercedes 🇩🇪,330,79,251,2017-06-11T00:00:00.000Z,138,1954-07-04T00:00:00.000Z,68,3,2017-06-25T00:00:00.000Z,Germany
1956-05-30T00:00:00.000Z,Watson 🇺🇸,22,2,8,1960-05-30T00:00:00.000Z,5,1950-05-30T00:00:00.000Z,3,0,1960-05-30T00:00:00.000Z,USA
1957-05-30T00:00:00.000Z,Epperly 🇺🇸,17,0,10,1958-05-30T00:00:00.000Z,5,1955-05-30T00:00:00.000Z,2,0,1960-05-30T00:00:00.000Z,USA
1957-07-20T00:00:00.000Z,Vanwall 🇬🇧,71,8,27,1958-10-19T00:00:00.000Z,14,1954-07-17T00:00:00.000Z,10,1,1960-07-03T00:00:00.000Z,UK
1958-01-19T00:00:00.000Z,Cooper 🇬🇧,103,0,44,1958-05-18T00:00:00.000Z,6,1950-05-21T00:00:00.000Z,2,0,1962-07-08T00:00:00.000Z,UK
1959-05-10T00:00:00.000Z,Cooper-Climax 🇬🇧,268,10,130,1962-06-03T00:00:00.000Z,44,1959-05-10T00:00:00.000Z,12,2,1968-01-01T00:00:00.000Z,UK
1959-05-31T00:00:00.000Z,BRM 🇬🇧,562,11,215,1972-05-14T00:00:00.000Z,61,1951-07-14T00:00:00.000Z,17,1,1977-09-11T00:00:00.000Z,UK
1960-05-29T00:00:00.000Z,Team Lotus 🇬🇧,871,61,352,1987-06-21T00:00:00.000Z,114,1958-05-18T00:00:00.000Z,45,4,1994-11-13T00:00:00.000Z,UK
1961-05-14T00:00:00.000Z,Lotus-Climax 🇬🇧,231,28,92,1965-08-01T00:00:00.000Z,31,1961-05-14T00:00:00.000Z,22,2,1967-05-07T00:00:00.000Z,UK
1962-07-08T00:00:00.000Z,Porsche 🇩🇪,84,1,38,1962-07-08T00:00:00.000Z,5,1957-08-04T00:00:00.000Z,1,0,1964-05-24T00:00:00.000Z,Germany
1964-06-28T00:00:00.000Z,Brabham-Climax 🇬🇧,93,2,41,1964-10-25T00:00:00.000Z,11,1964-05-10T00:00:00.000Z,2,0,1969-09-20T00:00:00.000Z,UK
1965-10-24T00:00:00.000Z,Honda 🇯🇵,152,2,58,2006-08-06T00:00:00.000Z,9,1964-08-02T00:00:00.000Z,3,0,2008-11-02T00:00:00.000Z,Japan
1966-07-03T00:00:00.000Z,Brabham-Repco 🇬🇧,77,7,37,1967-08-27T00:00:00.000Z,25,1966-05-22T00:00:00.000Z,8,2,1969-03-01T00:00:00.000Z,UK
1966-10-02T00:00:00.000Z,Lotus-BRM 🇬🇧,121,0,32,1966-10-02T00:00:00.000Z,2,1962-06-03T00:00:00.000Z,1,0,1967-10-22T00:00:00.000Z,UK
1966-10-23T00:00:00.000Z,Cooper-Maserati 🇬🇧,134,1,48,1967-01-02T00:00:00.000Z,7,1959-05-10T00:00:00.000Z,2,0,1969-05-18T00:00:00.000Z,UK
1967-06-04T00:00:00.000Z,Lotus-Ford 🇬🇧,128,19,56,1969-10-05T00:00:00.000Z,25,1963-12-28T00:00:00.000Z,11,1,1971-10-03T00:00:00.000Z,UK
1967-06-18T00:00:00.000Z,Eagle-Weslake 🇺🇸,21,0,3,1967-06-18T00:00:00.000Z,2,1966-09-04T00:00:00.000Z,1,0,1968-09-08T00:00:00.000Z,USA
