name,race_duration,round,season,laps_completed
Chinese Grand Prix,1:39:53.618,19,2005,56
Chinese Grand Prix,1:33:28.388,4,2014,54
Chinese Grand Prix,1:36:26.945,3,2013,56
Dallas Grand Prix,2:01:22.617,9,1984,67
Detroit Grand Prix,1:58:41.043,7,1982,62
Detroit Grand Prix,1:50:16.358,5,1987,63
Detroit Grand Prix,1:51:12.847,7,1986,63
Detroit Grand Prix,1:55:39.851,6,1985,63
Detroit Grand Prix,1:50:53.669,7,1983,60
Detroit Grand Prix,1:54:56.035,6,1988,63
Detroit Grand Prix,1:55:41.842,8,1984,63
Dutch Grand Prix,2:53:28.5,7,1952,90
Dutch Grand Prix,2:14:45.1,3,1967,90
Dutch Grand Prix,2:54:23.8,5,1955,100
Dutch Grand Prix,2:04:49.2,3,1958,75
Dutch Grand Prix,1:37:21.468,13,1984,71
Dutch Grand Prix,2:11:02.1,1,1962,80
Dutch Grand Prix,1:44:52.09,12,1976,75
Dutch Grand Prix,2:46:11.2,5,1968,90
Dutch Grand Prix,1:41:19.775,12,1979,75
Dutch Grand Prix,1:41:04.23,13,1978,75
Dutch Grand Prix,2:01:52.1,2,1961,75
Dutch Grand Prix,1:38:41.950,12,1983,72
Dutch Grand Prix,2:08:13.7,3,1963,80
Dutch Grand Prix,1:39:12.45,10,1973,72
Dutch Grand Prix,2:01:47.2,4,1960,75
Dutch Grand Prix,2:20:32.5,5,1966,90
Dutch Grand Prix,1:46:57.40,8,1975,75
Dutch Grand Prix,1:32:29.263,11,1985,70
Dutch Grand Prix,1:38:13.83,11,1980,72
Dutch Grand Prix,2:53:35.8,3,1953,90
Dutch Grand Prix,1:41:45.93,13,1977,75
Dutch Grand Prix,1:50:43.4,5,1970,80
Dutch Grand Prix,1:38:03.254,9,1982,72
Dutch Grand Prix,2:03:59.1,6,1965,80
Dutch Grand Prix,2:06:42.08,4,1969,90
Dutch Grand Prix,1:40:22.43,12,1981,72
Dutch Grand Prix,2:07:35.4,2,1964,80
Dutch Grand Prix,2:05:26.8,3,1959,75
Dutch Grand Prix,1:43:00.35,8,1974,75
Dutch Grand Prix,1:56:20.0,4,1971,70
European Grand Prix,1:41:54.314,14,1999,66
European Grand Prix,1:34:43.622,9,2003,60
European Grand Prix,1:35:58.765,5,2006,60
European Grand Prix,1:33:26.473,4,1996,67
European Grand Prix,1:35:07.426,9,2002,60
European Grand Prix,1:38:57.771,17,1997,69
European Grand Prix,1:36:45.865,14,1983,76
European Grand Prix,1:32:35.101,7,2004,60
European Grand Prix,1:35:51.289,11,2009,57
European Grand Prix,1:39:36.169,8,2011,57
European Grand Prix,1:29:42.724,9,2001,67
European Grand Prix,1:35:13.284,15,1984,67
European Grand Prix,1:32:52.366,8,2016,51
European Grand Prix,1:35:32.339,12,2008,57
European Grand Prix,1:50:46.570,3,1993,76
European Grand Prix,1:39:59.044,14,1995,67
European Grand Prix,1:42:00.307,6,2000,67
European Grand Prix,1:44:16.649,8,2012,57
European Grand Prix,1:32:58.109,14,1985,75
European Grand Prix,1:40:27.3,14,1994,69
European Grand Prix,2:06:26.358,10,2007,60
European Grand Prix,1:31:46.648,7,2005,59
European Grand Prix,1:40:29.571,9,2010,57
French Grand Prix,1:39:40.13,9,1977,80
French Grand Prix,1:31:50.245,8,2008,70
French Grand Prix,1:38:36.2,7,1994,72
French Grand Prix,2:57:52.8,6,1950,64
French Grand Prix,1:31:22.232,10,2005,70
French Grand Prix,1:38:51.92,9,1978,54
French Grand Prix,1:40:58.60,8,1976,54
French Grand Prix,3:22:11.0,4,1951,77
French Grand Prix,2:07:05.5,4,1962,54
French Grand Prix,2:14:17.5,4,1961,52
French Grand Prix,1:35:20.42,8,1979,80
French Grand Prix,1:40:18.84,9,1975,54
French Grand Prix,1:30:18.133,10,2004,70
French Grand Prix,1:32:43.4,7,1980,54
French Grand Prix,1:35:48.13,8,1981,80
French Grand Prix,1:21:55.02,9,1974,80
French Grand Prix,3:00:00.0,4,1952,77
French Grand Prix,1:30:49.213,10,2003,70
French Grand Prix,1:38:35.241,8,1993,72
French Grand Prix,1:33:33.217,11,1982,54
French Grand Prix,2:44:18.6,5,1953,60
French Grand Prix,1:41:36.52,8,1973,54
French Grand Prix,1:38:28.429,7,1995,72
French Grand Prix,1:32:09.837,11,2002,72
French Grand Prix,2:10:54.3,4,1963,53
French Grand Prix,2:42:47.9,4,1954,61
French Grand Prix,1:34:13.913,3,1983,54
French Grand Prix,1:52:22.5,6,1972,38
French Grand Prix,1:57:24.9,6,1960,50
French Grand Prix,1:33:35.636,10,2001,72
French Grand Prix,1:31:11.951,5,1984,79
French Grand Prix,1:38:05.538,9,2000,72
French Grand Prix,1:31:46.266,7,1985,53
French Grand Prix,1:46:42.3,5,1971,55
French Grand Prix,1:38:08.459,8,1992,69
French Grand Prix,1:30:54.200,8,2007,70
French Grand Prix,2:34:23.4,5,1956,61
French Grand Prix,1:37:19.272,8,1986,80
French Grand Prix,1:58:24.343,7,1999,72
French Grand Prix,1:55:57.0,6,1970,38
French Grand Prix,3:07:46.4,4,1957,77
French Grand Prix,1:56:47.4,5,1969,38
French Grand Prix,2:07:49.1,4,1964,57
French Grand Prix,1:37:03.839,6,1987,80
French Grand Prix,2:03:21.3,6,1958,50
French Grand Prix,1:34:45.0,8,1998,71
French Grand Prix,1:37:37.328,7,1988,80
French Grand Prix,2:25:40.9,6,1968,60
French Grand Prix,1:36:29.2,9,1996,72
French Grand Prix,1:38:00.056,7,1991,72
French Grand Prix,2:01:26.5,4,1959,50
French Grand Prix,1:38:29.411,7,1989,80
French Grand Prix,1:38:50.492,8,1997,72
French Grand Prix,2:13:21.3,5,1967,80
French Grand Prix,1:33:29.606,7,1990,80
French Grand Prix,2:41:38.4,4,1965,40
French Grand Prix,1:48:31.3,3,1966,48
French Grand Prix,1:32:07.803,11,2006,70
German Grand Prix,2:38:45.3,6,1962,15
German Grand Prix,1:24:43.210,11,1984,44
German Grand Prix,1:31:49.3,11,1977,47
German Grand Prix,2:27:03.0,6,1966,15
German Grand Prix,1:28:48.769,12,2003,67
German Grand Prix,1:18:17.873,12,2001,45
German Grand Prix,1:22:37.2,9,1994,45
German Grand Prix,1:26:28.599,12,2005,67
German Grand Prix,1:36:43.310,9,2009,60
German Grand Prix,1:28:00.90,11,1978,45
German Grand Prix,1:20:47.164,9,1990,45
German Grand Prix,1:42:12.3,8,1972,14
German Grand Prix,1:37:30.344,10,2011,60
