name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1966 Dutch Grand Prix 🇳🇱,5,10,44,Brabham-Repco 🇬🇧,1966-07-24,R,,1966,Jack Brabham 🇦🇺
1966 French Grand Prix 🇫🇷,3,2,5,Brabham-Repco 🇬🇧,1966-07-03,R,,1966,Jack Brabham 🇦🇺
1966 German Grand Prix 🇩🇪,6,2,15,Brabham-Repco 🇬🇧,1966-08-07,2,+44.4,1966,Jack Brabham 🇦🇺
1966 Italian Grand Prix 🇮🇹,7,4,31,Ferrari 🇮🇹,1966-09-04,R,,1966,Ludovico Scarfiotti 🇮🇹
1966 Mexican Grand Prix 🇲🇽,9,1,65,Cooper-Maserati 🇬🇧,1966-10-23,1,2:06:35.34,1966,John Surtees 🇬🇧
1966 Monaco Grand Prix 🇲🇨,1,2,16,BRM 🇬🇧,1966-05-22,R,,1966,Jackie Stewart 🇬🇧
1966 United States Grand Prix 🇺🇸,8,4,107,Lotus-BRM 🇬🇧,1966-10-02,3,,1966,Jim Clark 🇬🇧
1967 Belgian Grand Prix 🇧🇪,4,10,1,Eagle-Weslake 🇺🇸,1967-06-18,R,,1967,Dan Gurney 🇺🇸
1967 British Grand Prix 🇬🇧,6,7,78,Lotus-Ford 🇬🇧,1967-07-15,6,,1967,Jim Clark 🇬🇧
1967 Dutch Grand Prix 🇳🇱,3,6,73,Lotus-Ford 🇬🇧,1967-06-04,R,,1967,Jim Clark 🇬🇧
1967 German Grand Prix 🇩🇪,7,6,15,Brabham-Repco 🇬🇧,1967-08-06,4,+2:25.7,1967,Denny Hulme 🇳🇿
1967 Italian Grand Prix 🇮🇹,9,9,68,Honda 🇯🇵,1967-09-10,1,1:43:45.0,1967,John Surtees 🇬🇧
1967 Mexican Grand Prix 🇲🇽,11,7,64,Lotus-Ford 🇬🇧,1967-10-22,4,,1967,Jim Clark 🇬🇧
1967 Monaco Grand Prix 🇲🇨,2,3,32,Brabham-Repco 🇬🇧,1967-05-07,R,,1967,Denny Hulme 🇳🇿
1967 South African Grand Prix 🇿🇦,1,6,79,Cooper-Maserati 🇬🇧,1967-01-02,3,,1967,Pedro Rodríguez 🇲🇽
1967 United States Grand Prix 🇺🇸,10,11,96,Lotus-Ford 🇬🇧,1967-10-01,R,,1967,Jim Clark 🇬🇧
1968 Belgian Grand Prix 🇧🇪,4,4,11,McLaren-Ford 🇬🇧,1968-06-09,R,,1968,Bruce McLaren 🇳🇿
1968 British Grand Prix 🇬🇧,7,9,78,Lotus-Ford 🇬🇧,1968-07-20,5,,1968,Jo Siffert 🇨🇭
1968 Canadian Grand Prix 🇨🇦,10,7,10,McLaren-Ford 🇬🇧,1968-09-22,R,,1968,Denny Hulme 🇳🇿
1968 Dutch Grand Prix 🇳🇱,5,9,50,Matra-Ford 🇫🇷,1968-06-23,R,,1968,Jackie Stewart 🇬🇧
1968 French Grand Prix 🇫🇷,6,7,60,Ferrari 🇮🇹,1968-07-07,2,+1:58.6,1968,Jacky Ickx 🇧🇪
1968 German Grand Prix 🇩🇪,8,7,3,Matra-Ford 🇫🇷,1968-08-04,R,,1968,Jackie Stewart 🇬🇧
1968 Italian Grand Prix 🇮🇹,9,1,8,McLaren-Ford 🇬🇧,1968-09-08,R,,1968,Denny Hulme 🇳🇿
1968 Mexican Grand Prix 🇲🇽,12,6,17,Lotus-Ford 🇬🇧,1968-11-03,R,,1968,Graham Hill 🇬🇧
1968 Monaco Grand Prix 🇲🇨,3,4,16,Lotus-Ford 🇬🇧,1968-05-26,R,,1968,Graham Hill 🇬🇧
1968 South African Grand Prix 🇿🇦,1,6,75,Lotus-Ford 🇬🇧,1968-01-01,8,,1968,Jim Clark 🇬🇧
1968 Spanish Grand Prix 🇪🇸,2,7,74,Lotus-Ford 🇬🇧,1968-05-12,R,,1968,Graham Hill 🇬🇧
1968 United States Grand Prix 🇺🇸,11,9,107,Matra-Ford 🇫🇷,1968-10-06,3,,1968,Jackie Stewart 🇬🇧
1969 British Grand Prix 🇬🇧,6,6,1,Matra-Ford 🇫🇷,1969-07-19,R,,1969,Jackie Stewart 🇬🇧
1969 Canadian Grand Prix 🇨🇦,9,14,15,Brabham-Ford 🇬🇧,1969-09-20,R,,1969,Jacky Ickx 🇧🇪
1969 Dutch Grand Prix 🇳🇱,4,12,87,Matra-Ford 🇫🇷,1969-06-21,9,,1969,Jackie Stewart 🇬🇧
1969 German Grand Prix 🇩🇪,7,11,0,Brabham-Ford 🇬🇧,1969-08-03,W,,1969,Jacky Ickx 🇧🇪
1969 Italian Grand Prix 🇮🇹,8,10,60,Matra-Ford 🇫🇷,1969-09-07,N,,1969,Jackie Stewart 🇬🇧
1969 Mexican Grand Prix 🇲🇽,11,10,53,McLaren-Ford 🇬🇧,1969-10-19,R,,1969,Denny Hulme 🇳🇿
1969 Monaco Grand Prix 🇲🇨,3,6,9,Lotus-Ford 🇬🇧,1969-05-18,R,,1969,Graham Hill 🇬🇧
1969 South African Grand Prix 🇿🇦,1,18,40,Matra-Ford 🇫🇷,1969-03-01,R,,1969,Jackie Stewart 🇬🇧
1969 Spanish Grand Prix 🇪🇸,2,9,84,Matra-Ford 🇫🇷,1969-05-04,5,,1969,Jackie Stewart 🇬🇧
1969 United States Grand Prix 🇺🇸,10,11,106,Lotus-Ford 🇬🇧,1969-10-05,3,,1969,Jochen Rindt 🇦🇹
1970 Austrian Grand Prix 🇦🇹,9,12,27,Ferrari 🇮🇹,1970-08-16,R,,1970,Jacky Ickx 🇧🇪
