name,round,grid,laps_completed,winning_constructor,date,final_position,time,season,winning_driver
1967 Dutch Grand Prix 🇳🇱,3,2,8,Lotus-Ford 🇬🇧,1967-06-04,R,,1967,Jim Clark 🇬🇧
1967 French Grand Prix 🇫🇷,5,3,40,Brabham-Repco 🇬🇧,1967-07-02,R,,1967,Jack Brabham 🇦🇺
1967 German Grand Prix 🇩🇪,7,4,12,Brabham-Repco 🇬🇧,1967-08-06,R,,1967,Denny Hulme 🇳🇿
1967 Italian Grand Prix 🇮🇹,9,5,4,Honda 🇯🇵,1967-09-10,R,,1967,John Surtees 🇬🇧
1967 Mexican Grand Prix 🇲🇽,11,3,4,Lotus-Ford 🇬🇧,1967-10-22,R,,1967,Jim Clark 🇬🇧
1967 Monaco Grand Prix 🇲🇨,2,7,4,Brabham-Repco 🇬🇧,1967-05-07,R,,1967,Denny Hulme 🇳🇿
1967 South African Grand Prix 🇿🇦,1,11,44,Cooper-Maserati 🇬🇧,1967-01-02,R,,1967,Pedro Rodríguez 🇲🇽
1967 United States Grand Prix 🇺🇸,10,3,24,Lotus-Ford 🇬🇧,1967-10-01,R,,1967,Jim Clark 🇬🇧
1968 British Grand Prix 🇬🇧,7,6,8,Lotus-Ford 🇬🇧,1968-07-20,R,,1968,Jo Siffert 🇨🇭
1968 Canadian Grand Prix 🇨🇦,10,4,29,McLaren-Ford 🇬🇧,1968-09-22,R,,1968,Denny Hulme 🇳🇿
1968 Dutch Grand Prix 🇳🇱,5,12,63,Matra-Ford 🇫🇷,1968-06-23,R,,1968,Jackie Stewart 🇬🇧
1968 German Grand Prix 🇩🇪,8,10,14,Matra-Ford 🇫🇷,1968-08-04,9,+8:13.7,1968,Jackie Stewart 🇬🇧
1968 Italian Grand Prix 🇮🇹,9,12,19,McLaren-Ford 🇬🇧,1968-09-08,R,,1968,Denny Hulme 🇳🇿
1968 Mexican Grand Prix 🇲🇽,12,5,28,Lotus-Ford 🇬🇧,1968-11-03,R,,1968,Graham Hill 🇬🇧
1968 Monaco Grand Prix 🇲🇨,3,16,9,Lotus-Ford 🇬🇧,1968-05-26,R,,1968,Graham Hill 🇬🇧
1968 South African Grand Prix 🇿🇦,1,12,58,Lotus-Ford 🇬🇧,1968-01-01,R,,1968,Jim Clark 🇬🇧
1968 United States Grand Prix 🇺🇸,11,7,107,Matra-Ford 🇫🇷,1968-10-06,4,,1968,Jackie Stewart 🇬🇧
1970 British Grand Prix 🇬🇧,7,11,60,Team Lotus 🇬🇧,1970-07-18,R,,1970,Jochen Rindt 🇦🇹
1970 Dutch Grand Prix 🇳🇱,5,19,2,Team Lotus 🇬🇧,1970-06-21,R,,1970,Jochen Rindt 🇦🇹
1970 French Grand Prix 🇫🇷,6,17,38,Team Lotus 🇬🇧,1970-07-05,6,+1:19.65,1970,Jochen Rindt 🇦🇹
